column,slice,size,precision,recall,fbeta
native-country,?,117,0.6206896551724138,0.6923076923076923,0.6545454545454545
native-country,Philippines,39,0.6363636363636364,0.6363636363636364,0.6363636363636364
native-country,Italy,13,0.8,0.8,0.8000000000000002
native-country,England,20,0.5,0.5,0.5
native-country,Guatemala,23,0.0,1.0,0.0
native-country,Puerto-Rico,21,1.0,0.6666666666666666,0.8
native-country,Poland,15,1.0,0.3333333333333333,0.5
native-country,Canada,23,0.8571428571428571,0.8571428571428571,0.8571428571428571
native-country,Germany,27,0.7142857142857143,0.8333333333333334,0.7692307692307692
native-country,Cuba,18,0.6666666666666666,0.6666666666666666,0.6666666666666666
native-country,Ireland,8,1.0,1.0,1.0
native-country,Honduras,5,1.0,1.0,1.0
native-country,Taiwan,10,0.6,1.0,0.7499999999999999
native-country,Japan,11,0.8333333333333334,1.0,0.9090909090909091
native-country,Dominican-Republic,14,1.0,0.0,0.0
native-country,South,18,1.0,0.5,0.6666666666666666
native-country,Nicaragua,6,1.0,1.0,1.0
native-country,France,5,1.0,0.5,0.6666666666666666
native-country,Peru,5,1.0,0.5,0.6666666666666666
native-country,China,8,1.0,1.0,1.0
native-country,India,20,0.6,1.0,0.7499999999999999
native-country,Portugal,5,1.0,0.0,0.0
native-country,Vietnam,12,1.0,1.0,1.0
native-country,Haiti,11,1.0,0.0,0.0
native-country,Outlying-US(Guam-USVI-etc),1,1.0,1.0,1.0
native-country,Thailand,5,0.0,1.0,0.0
native-country,Jamaica,7,1.0,0.0,0.0
native-country,Scotland,2,1.0,0.0,0.0
native-country,Ecuador,3,1.0,1.0,1.0
native-country,Hong,1,1.0,1.0,1.0
native-country,Columbia,11,1.0,0.0,0.0
native-country,Iran,7,1.0,0.5,0.6666666666666666
native-country,Hungary,2,1.0,1.0,1.0
native-country,Holand-Netherlands,1,1.0,1.0,1.0
native-country,Trinadad&Tobago,2,1.0,1.0,1.0
native-country,Yugoslavia,4,1.0,1.0,1.0
native-country,Laos,3,1.0,1.0,1.0
native-country,Cambodia,3,1.0,0.0,0.0
