column,slice,size,precision,recall,fbeta
race,Asian-Pac-Islander,214,0.6721311475409836,0.7592592592592593,0.7130434782608696
race,Black,675,0.875,0.5490196078431373,0.674698795180723
race,Amer-Indian-Eskimo,64,0.75,0.5454545454545454,0.631578947368421
race,Other,64,0.75,0.75,0.75
sex,Male,4418,0.7747524752475248,0.6765129682997119,0.7223076923076923
sex,Female,2095,0.7976878612716763,0.5542168674698795,0.6540284360189574
native-country,United-States,5837,0.780952380952381,0.6495049504950495,0.7091891891891892
native-country,Philippines,46,0.9090909090909091,0.8333333333333334,0.8695652173913043
native-country,Cuba,26,1.0,0.6666666666666666,0.8
native-country,Mexico,118,0.75,0.42857142857142855,0.5454545454545454
native-country,Jamaica,17,1.0,0.0,0.0
native-country,Portugal,7,1.0,1.0,1.0
native-country,Germany,24,1.0,0.8181818181818182,0.9
native-country,Columbia,12,1.0,1.0,1.0
native-country,India,21,0.375,0.5,0.42857142857142855
native-country,Honduras,6,1.0,1.0,1.0
native-country,Peru,8,1.0,1.0,1.0
native-country,Puerto-Rico,25,0.8,1.0,0.888888888888889
native-country,England,19,0.7142857142857143,0.8333333333333334,0.7692307692307692
native-country,?,119,0.7586206896551724,0.8148148148148148,0.7857142857142857
native-country,Italy,11,0.6666666666666666,1.0,0.8
native-country,Japan,19,1.0,0.8,0.888888888888889
native-country,Guatemala,14,1.0,1.0,1.0
native-country,Greece,8,1.0,1.0,1.0
native-country,Haiti,13,1.0,0.0,0.0
native-country,South,15,0.0,0.0,0.0
native-country,Canada,19,0.5,1.0,0.6666666666666666
native-country,Dominican-Republic,14,1.0,1.0,1.0
native-country,Poland,10,1.0,1.0,1.0
native-country,El-Salvador,16,1.0,1.0,1.0
native-country,Vietnam,14,1.0,1.0,1.0
native-country,Iran,12,0.8,1.0,0.888888888888889
native-country,China,12,0.6666666666666666,0.8,0.7272727272727272
native-country,Ecuador,4,0.0,0.0,0.0
native-country,Laos,4,1.0,1.0,1.0
native-country,Cambodia,4,1.0,0.0,0.0
native-country,Nicaragua,7,1.0,1.0,1.0
native-country,France,4,1.0,0.6666666666666666,0.8
native-country,Trinadad&Tobago,2,1.0,1.0,1.0
native-country,Scotland,2,1.0,1.0,1.0
native-country,Hong,2,0.0,1.0,0.0
native-country,Ireland,4,1.0,1.0,1.0
native-country,Taiwan,9,0.6,1.0,0.7499999999999999
native-country,Thailand,3,0.0,1.0,0.0
native-country,Hungary,2,1.0,1.0,1.0
native-country,Yugoslavia,1,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),3,1.0,1.0,1.0
